t_fs,rho10_abs,rho20_abs,rho12_abs,rho22_pop
3.400000000000000000e+02,7.786086420775902850e-01,3.330405329441051832e-01,3.788647155658860788e-01,1.829598286104658633e-01
3.420000000000000000e+02,7.774633424370137602e-01,3.308935123172696557e-01,3.767078371514182011e-01,1.811409582707274868e-01
3.440000000000000000e+02,7.763197274826785232e-01,3.287603329413211761e-01,3.745632378548085506e-01,1.793401699839616559e-01
3.460000000000000000e+02,7.751777947364840715e-01,3.266409055855259980e-01,3.724308477709878384e-01,1.775572839898893751e-01
3.480000000000000000e+02,7.740375417239749867e-01,3.245351415943961704e-01,3.703105973928563777e-01,1.757921223152941193e-01
3.500000000000000000e+02,7.728989659743354945e-01,3.224429528839814485e-01,3.682024176090188394e-01,1.740445087562559889e-01
3.520000000000000000e+02,7.717620650203846910e-01,3.203642519381842968e-01,3.661062397015312220e-01,1.723142688605624195e-01
3.540000000000000000e+02,7.706268363985703251e-01,3.182989518050997058e-01,3.640219953436610867e-01,1.706012299102939167e-01
3.560000000000000000e+02,7.694932776489642468e-01,3.162469660933773796e-01,3.619496165976605062e-01,1.689052209045827369e-01
3.580000000000000000e+02,7.683613863152566337e-01,3.142082089686083490e-01,3.598890359125513916e-01,1.672260725425431804e-01
3.600000000000000000e+02,7.672311599447509955e-01,3.121825951497346208e-01,3.578401861219234759e-01,1.655636172063712774e-01
3.620000000000000000e+02,7.661025960883580677e-01,3.101700399054814206e-01,3.558030004417453984e-01,1.639176889446127272e-01
3.640000000000000000e+02,7.649756923005918141e-01,3.081704590508133612e-01,3.537774124681874466e-01,1.622881234555971774e-01
3.660000000000000000e+02,7.638504461395630996e-01,3.061837689434127041e-01,3.517633561754571758e-01,1.606747580710370382e-01
3.680000000000000000e+02,7.627268551669743601e-01,3.042098864801808800e-01,3.497607659136471314e-01,1.590774317397894433e-01
3.700000000000000000e+02,7.616049169481152736e-01,3.022487290937618254e-01,3.477695764065955042e-01,1.574959850117796378e-01
3.720000000000000000e+02,7.604846290518565421e-01,3.003002147490888007e-01,3.457897227497574444e-01,1.559302600220841828e-01
3.740000000000000000e+02,7.593659890506448962e-01,2.983642619399523577e-01,3.438211404080901423e-01,1.543801004751723938e-01
3.760000000000000000e+02,7.582489945204979875e-01,2.964407896855911217e-01,3.418637652139490668e-01,1.528453516293043768e-01
3.780000000000000000e+02,7.571336430409990603e-01,2.945297175273046131e-01,3.399175333649964714e-01,1.513258602810843567e-01
3.800000000000000000e+02,7.560199321952917328e-01,2.926309655250871611e-01,3.379823814221214473e-01,1.498214747501672439e-01
3.820000000000000000e+02,7.549078595700745575e-01,2.907444542542845234e-01,3.360582463073721327e-01,1.483320448641176625e-01
3.840000000000000000e+02,7.537974227555961360e-01,2.888701048022712103e-01,3.341450653018997463e-01,1.468574219434190531e-01
3.860000000000000000e+02,7.526886193456494567e-01,2.870078387651497920e-01,3.322427760439144451e-01,1.453974587866321555e-01
3.880000000000000000e+02,7.515814469375673434e-01,2.851575782444710772e-01,3.303513165266520613e-01,1.439520096557008744e-01
3.900000000000000000e+02,7.504759031322163487e-01,2.833192458439758310e-01,3.284706250963530527e-01,1.425209302614042217e-01
3.920000000000000000e+02,7.493719855339924241e-01,2.814927646663570870e-01,3.266006404502534433e-01,1.411040777489529774e-01
3.940000000000000000e+02,7.482696917508151468e-01,2.796780583100437201e-01,3.247413016345857550e-01,1.397013106837294294e-01
3.960000000000000000e+02,7.471690193941228353e-01,2.778750508660046137e-01,3.228925480425927641e-01,1.383124890371689453e-01
3.980000000000000000e+02,7.460699660788672194e-01,2.760836669145730338e-01,3.210543194125515254e-01,1.369374741727819034e-01
4.000000000000000000e+02,7.449725294235084450e-01,2.743038315222922074e-01,3.192265558258097213e-01,1.355761288323145686e-01
4.020000000000000000e+02,7.438767070500096334e-01,2.725354702387806638e-01,3.174091977048318913e-01,1.342283171220475246e-01
4.040000000000000000e+02,7.427824965838319971e-01,2.707785090936182248e-01,3.156021858112577627e-01,1.328939044992302476e-01
4.060000000000000000e+02,7.416898956539296206e-01,2.690328745932513699e-01,3.138054612439712954e-01,1.315727577586509045e-01
